frame.time_epoch,ip.src,ip.dst,_ws.col.protocol,frame.len
1100903355.579454000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.579588000,10.1.1.101,10.1.1.1,TCP,54
1100903355.580655000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.581949000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.581980000,10.1.1.101,10.1.1.1,TCP,54
1100903355.583202000,10.1.1.1,10.1.1.101,TCP,1514
1100903355.583263000,10.1.1.101,10.1.1.1,TCP,54
1100903355.583787000,10.1.1.1,10.1.1.101,HTTP,624
1100903355.583820000,10.1.1.101,10.1.1.1,TCP,54
1100903355.609257000,209.225.11.237,10.1.1.101,TCP,60
1100903355.621790000,209.225.0.6,10.1.1.101,TCP,62
1100903355.621869000,10.1.1.101,209.225.0.6,TCP,54
1100903355.628206000,209.225.0.6,10.1.1.101,TCP,62
1100903355.628303000,10.1.1.101,209.225.0.6,TCP,54
1100903355.634850000,209.225.0.6,10.1.1.101,TCP,62
1100903355.634944000,10.1.1.101,209.225.0.6,TCP,54
1100903355.660994000,10.1.1.101,209.225.0.6,TCP,1514
1100903355.661054000,10.1.1.101,209.225.0.6,HTTP,1211
1100903355.661366000,10.1.1.101,209.225.0.6,TCP,1514
1100903355.661402000,10.1.1.101,209.225.0.6,HTTP,1211
1100903355.661653000,10.1.1.101,209.225.0.6,TCP,1514
1100903355.661676000,10.1.1.101,209.225.0.6,HTTP,1211
1100903355.668170000,209.225.0.6,10.1.1.101,TCP,62
1100903355.668261000,10.1.1.101,209.225.0.6,TCP,54
1100903355.669187000,10.1.1.101,209.225.0.6,TCP,1514
1100903355.669239000,10.1.1.101,209.225.0.6,HTTP,1211
1100903355.702639000,10.1.1.101,10.1.1.1,TCP,54
1100903355.703068000,10.1.1.1,10.1.1.101,TCP,60
1100903355.870269000,10.1.1.101,10.1.1.1,TCP,54
1100903355.870696000,10.1.1.1,10.1.1.101,TCP,60
1100903356.010165000,209.225.0.6,10.1.1.101,TCP,60
1100903356.097138000,209.225.0.6,10.1.1.101,TCP,60
1100903356.101328000,209.225.0.6,10.1.1.101,TCP,72
1100903356.129936000,209.225.0.6,10.1.1.101,IPv4,770
1100903356.129998000,10.1.1.101,209.225.0.6,TCP,54
1100903356.153786000,209.225.0.6,10.1.1.101,HTTP,1301
1100903356.153897000,10.1.1.101,209.225.0.6,TCP,54
1100903356.155401000,10.1.1.101,209.225.0.6,TCP,54
1100903356.156501000,10.1.1.101,209.225.0.6,TCP,62
1100903356.203766000,209.225.0.6,10.1.1.101,TCP,60
1100903356.289363000,209.225.0.6,10.1.1.101,TCP,60
1100903356.296706000,209.225.0.6,10.1.1.101,TCP,72
1100903356.325336000,209.225.0.6,10.1.1.101,IPv4,770
1100903356.325396000,10.1.1.101,209.225.0.6,TCP,54
1100903356.348999000,209.225.0.6,10.1.1.101,HTTP,1301
1100903356.349114000,10.1.1.101,209.225.0.6,TCP,54
1100903356.350640000,10.1.1.101,209.225.0.6,TCP,54
1100903356.351993000,10.1.1.101,209.225.0.6,TCP,62
1100903356.395318000,209.225.0.6,10.1.1.101,TCP,60
1100903356.480521000,209.225.0.6,10.1.1.101,TCP,60
1100903356.593129000,209.225.0.6,10.1.1.101,TCP,60
1100903356.679384000,209.225.0.6,10.1.1.101,TCP,60
1100903356.684288000,209.225.0.6,10.1.1.101,TCP,72
1100903356.712920000,209.225.0.6,10.1.1.101,IPv4,770
1100903356.712980000,10.1.1.101,209.225.0.6,TCP,54
1100903356.736542000,209.225.0.6,10.1.1.101,HTTP,1301
1100903356.736597000,10.1.1.101,209.225.0.6,TCP,54
1100903356.737359000,209.225.0.6,10.1.1.101,TCP,60
1100903356.738044000,10.1.1.101,209.225.0.6,TCP,54
1100903356.738757000,209.225.0.6,10.1.1.101,TCP,62
1100903356.738817000,10.1.1.101,209.225.0.6,TCP,54
1100903356.739382000,10.1.1.101,209.225.0.6,TCP,62
1100903356.739744000,10.1.1.101,209.225.0.6,TCP,1514
1100903356.739805000,10.1.1.101,209.225.0.6,HTTP,1267
1100903356.741105000,209.225.0.6,10.1.1.101,TCP,60
1100903356.742916000,209.225.0.6,10.1.1.101,TCP,62
1100903356.742949000,10.1.1.101,209.225.0.6,TCP,54
1100903356.743377000,10.1.1.101,209.225.0.6,TCP,1514
1100903356.743422000,10.1.1.101,209.225.0.6,HTTP,1267
1100903356.909549000,209.225.0.6,10.1.1.101,TCP,72
1100903356.938162000,209.225.0.6,10.1.1.101,IPv4,770
1100903356.938226000,10.1.1.101,209.225.0.6,TCP,54
1100903356.961785000,209.225.0.6,10.1.1.101,HTTP,1301
1100903356.961845000,10.1.1.101,209.225.0.6,TCP,54
1100903356.963284000,10.1.1.101,209.225.0.6,TCP,54
1100903356.964407000,10.1.1.101,209.225.0.6,TCP,62
1100903356.992361000,209.225.0.6,10.1.1.101,TCP,60
1100903357.003913000,209.225.0.6,10.1.1.101,TCP,62
1100903357.003967000,10.1.1.101,209.225.0.6,TCP,54
1100903357.004463000,10.1.1.101,209.225.0.6,TCP,1514
1100903357.004513000,10.1.1.101,209.225.0.6,HTTP,1267
1100903357.109872000,209.225.0.6,10.1.1.101,TCP,60
1100903357.200571000,209.225.0.6,10.1.1.101,TCP,60
1100903357.214354000,209.225.0.6,10.1.1.101,TCP,69
1100903357.242988000,209.225.0.6,10.1.1.101,IPv4,770
1100903357.243074000,10.1.1.101,209.225.0.6,TCP,54
1100903357.313091000,209.225.0.6,10.1.1.101,TCP,60
1100903357.401351000,209.225.0.6,10.1.1.101,TCP,60
1100903357.404055000,209.225.0.6,10.1.1.101,TCP,69
1100903357.413437000,10.1.1.101,10.1.1.1,TCP,62
1100903357.413892000,10.1.1.1,10.1.1.101,TCP,62
1100903357.413950000,10.1.1.101,10.1.1.1,TCP,54
1100903357.422341000,10.1.1.101,10.1.1.1,HTTP,655
1100903357.423558000,10.1.1.1,10.1.1.101,TCP,60
1100903357.425457000,10.1.1.1,10.1.1.101,HTTP,746
1100903357.425504000,10.1.1.1,10.1.1.101,TCP,60
1100903357.425554000,10.1.1.101,10.1.1.1,TCP,54
1100903357.432716000,209.225.0.6,10.1.1.101,IPv4,770
1100903357.432814000,10.1.1.101,209.225.0.6,TCP,54
1100903357.433873000,209.225.0.6,10.1.1.101,TCP,60
1100903357.435343000,209.225.0.6,10.1.1.101,TCP,62
1100903357.435402000,10.1.1.101,209.225.0.6,TCP,54
1100903357.541580000,209.225.0.6,10.1.1.101,TCP,60
1100903357.558966000,10.1.1.101,209.225.0.6,TCP,1514
1100903357.559026000,10.1.1.101,209.225.0.6,HTTP,1267
1100903357.631054000,209.225.0.6,10.1.1.101,TCP,60
1100903357.632770000,209.225.0.6,10.1.1.101,TCP,69
1100903357.632997000,10.1.1.101,10.1.1.1,TCP,54
1100903357.633431000,10.1.1.1,10.1.1.101,TCP,60
1100903357.661394000,209.225.0.6,10.1.1.101,IPv4,770
1100903357.661435000,10.1.1.101,209.225.0.6,TCP,54
1100903357.689484000,209.225.0.6,10.1.1.101,IPv4,770
1100903357.717792000,209.225.0.6,10.1.1.101,IPv4,770
1100903357.717843000,10.1.1.101,209.225.0.6,TCP,54
1100903357.738637000,209.225.0.6,10.1.1.101,HTTP,1187
1100903357.738702000,10.1.1.101,209.225.0.6,TCP,54
1100903357.738964000,10.1.1.101,209.225.0.6,TCP,54
1100903357.766576000,209.225.0.6,10.1.1.101,IPv4,770
1100903357.794654000,209.225.0.6,10.1.1.101,IPv4,770
1100903357.794745000,10.1.1.101,209.225.0.6,TCP,54
1100903357.815740000,209.225.0.6,10.1.1.101,HTTP,1187
1100903357.815822000,10.1.1.101,209.225.0.6,TCP,54
1100903357.816117000,10.1.1.101,209.225.0.6,TCP,54
1100903357.909207000,209.225.0.6,10.1.1.101,TCP,60
1100903357.997652000,209.225.0.6,10.1.1.101,TCP,60
1100903358.000360000,209.225.0.6,10.1.1.101,TCP,69
1100903358.029034000,209.225.0.6,10.1.1.101,IPv4,770
1100903358.029152000,10.1.1.101,209.225.0.6,TCP,54
1100903358.057332000,209.225.0.6,10.1.1.101,IPv4,770
1100903358.085429000,209.225.0.6,10.1.1.101,IPv4,770
1100903358.085496000,10.1.1.101,209.225.0.6,TCP,54
1100903358.113649000,209.225.0.6,10.1.1.101,IPv4,770
1100903358.114687000,209.225.0.6,10.1.1.101,TCP,60
1100903358.116180000,209.225.0.6,10.1.1.101,TCP,60
1100903358.219626000,10.1.1.101,209.225.0.6,TCP,54
1100903358.303019000,209.225.0.6,10.1.1.101,IPv4,770
1100903358.331339000,209.225.0.6,10.1.1.101,IPv4,770
1100903358.331423000,10.1.1.101,209.225.0.6,TCP,54
1100903358.352416000,209.225.0.6,10.1.1.101,HTTP,1187
1100903358.352501000,10.1.1.101,209.225.0.6,TCP,54
1100903358.352815000,10.1.1.101,209.225.0.6,TCP,54
1100903358.380375000,209.225.0.6,10.1.1.101,IPv4,770
1100903358.401213000,209.225.0.6,10.1.1.101,HTTP,1190
1100903358.401299000,10.1.1.101,209.225.0.6,TCP,54
1100903358.401789000,10.1.1.101,209.225.0.6,TCP,54
1100903358.606544000,209.225.0.6,10.1.1.101,TCP,60
1100903358.656305000,209.225.0.6,10.1.1.101,TCP,60
1100903359.073186000,10.1.1.101,10.1.1.1,TCP,62
1100903359.073643000,10.1.1.1,10.1.1.101,TCP,62
1100903359.073689000,10.1.1.101,10.1.1.1,TCP,54
1100903359.082029000,10.1.1.101,10.1.1.1,HTTP,668
1100903359.083273000,10.1.1.1,10.1.1.101,TCP,60
1100903359.086139000,10.1.1.1,10.1.1.101,TCP,1514
1100903359.086246000,10.1.1.1,10.1.1.101,HTTP,134
1100903359.086355000,10.1.1.101,10.1.1.1,TCP,54
1100903359.086378000,10.1.1.1,10.1.1.101,TCP,60
1100903359.086408000,10.1.1.101,10.1.1.1,TCP,54
1100903359.247153000,10.1.1.101,10.1.1.1,TCP,54
1100903359.247590000,10.1.1.1,10.1.1.101,TCP,60
1100903360.805737000,10.1.1.101,10.1.1.1,TCP,62
1100903360.806208000,10.1.1.1,10.1.1.101,TCP,62
1100903360.806255000,10.1.1.101,10.1.1.1,TCP,54
1100903360.814439000,10.1.1.101,10.1.1.1,HTTP,676
1100903360.815687000,10.1.1.1,10.1.1.101,TCP,60
1100903360.818621000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.819529000,10.1.1.1,10.1.1.101,HTTP,1103
1100903360.819615000,10.1.1.101,10.1.1.1,TCP,54
1100903360.819637000,10.1.1.1,10.1.1.101,TCP,60
1100903360.819667000,10.1.1.101,10.1.1.1,TCP,54
1100903360.895656000,10.1.1.101,10.1.1.1,TCP,62
1100903360.896100000,10.1.1.1,10.1.1.101,TCP,62
1100903360.896142000,10.1.1.101,10.1.1.1,TCP,54
1100903360.897817000,10.1.1.101,10.1.1.1,TCP,62
1100903360.898261000,10.1.1.1,10.1.1.101,TCP,62
1100903360.898304000,10.1.1.101,10.1.1.1,TCP,54
1100903360.922012000,10.1.1.101,10.1.1.1,HTTP,686
1100903360.922967000,10.1.1.101,10.1.1.1,HTTP,686
1100903360.923153000,10.1.1.101,10.1.1.1,TCP,54
1100903360.923791000,10.1.1.1,10.1.1.101,TCP,60
1100903360.924344000,10.1.1.1,10.1.1.101,TCP,60
1100903360.924474000,10.1.1.1,10.1.1.101,TCP,60
1100903360.927034000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.928254000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.928316000,10.1.1.101,10.1.1.1,TCP,54
1100903360.930181000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.931426000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.931499000,10.1.1.101,10.1.1.1,TCP,54
1100903360.932707000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.934015000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.934077000,10.1.1.101,10.1.1.1,TCP,54
1100903360.935275000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.935356000,10.1.1.101,10.1.1.1,TCP,54
1100903360.936557000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.936643000,10.1.1.101,10.1.1.1,TCP,54
1100903360.937074000,10.1.1.1,10.1.1.101,HTTP,542
1100903360.937140000,10.1.1.101,10.1.1.1,TCP,54
1100903360.939152000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.939210000,10.1.1.101,10.1.1.1,TCP,54
1100903360.940402000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.941716000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.941769000,10.1.1.101,10.1.1.1,TCP,54
1100903360.942975000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.943067000,10.1.1.101,10.1.1.1,TCP,54
1100903360.944280000,10.1.1.1,10.1.1.101,TCP,1514
1100903360.945013000,10.1.1.1,10.1.1.101,HTTP,824
1100903360.945094000,10.1.1.101,10.1.1.1,TCP,54
1100903361.043848000,10.1.1.101,10.1.1.1,TCP,54
1100903361.044274000,10.1.1.1,10.1.1.101,TCP,60
1100903361.062725000,10.1.1.101,10.1.1.1,TCP,54
1100903361.063142000,10.1.1.1,10.1.1.101,TCP,60
1100903364.987060000,10.1.1.101,10.1.1.1,TCP,62
1100903364.987546000,10.1.1.1,10.1.1.101,TCP,62
1100903364.987590000,10.1.1.101,10.1.1.1,TCP,54
1100903364.995694000,10.1.1.101,10.1.1.1,HTTP,691
1100903364.996960000,10.1.1.1,10.1.1.101,TCP,60
1100903364.999927000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.001172000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.001225000,10.1.1.101,10.1.1.1,TCP,54
1100903365.003584000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.003652000,10.1.1.101,10.1.1.1,TCP,54
1100903365.004852000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.006181000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.006253000,10.1.1.101,10.1.1.1,TCP,54
1100903365.007420000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.007527000,10.1.1.101,10.1.1.1,TCP,54
1100903365.008701000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.010005000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.010042000,10.1.1.101,10.1.1.1,TCP,54
1100903365.011270000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.011353000,10.1.1.101,10.1.1.1,TCP,54
1100903365.012617000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.013864000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.013905000,10.1.1.101,10.1.1.1,TCP,54
1100903365.014416000,10.1.1.1,10.1.1.101,TCP,640
1100903365.016204000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.016233000,10.1.1.101,10.1.1.1,TCP,54
1100903365.017454000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.018751000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.018790000,10.1.1.101,10.1.1.1,TCP,54
1100903365.020006000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.021313000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.021345000,10.1.1.101,10.1.1.1,TCP,54
1100903365.022568000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.023868000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.023901000,10.1.1.101,10.1.1.1,TCP,54
1100903365.025123000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.026424000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.026456000,10.1.1.101,10.1.1.1,TCP,54
1100903365.027680000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.028983000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.029015000,10.1.1.101,10.1.1.1,TCP,54
1100903365.030250000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.031543000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.031586000,10.1.1.101,10.1.1.1,TCP,54
1100903365.032796000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.034101000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.034140000,10.1.1.101,10.1.1.1,TCP,54
1100903365.035392000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.036678000,10.1.1.1,10.1.1.101,TCP,1514
1100903365.036733000,10.1.1.101,10.1.1.1,TCP,54
